"plant_no","Cno","Cno_val","plant_name.x.x","genus.x.x","family.x.x","long","long_code","long_val","plant_name.y.x","genus.y.x","family.y.x","soil_nutr","soil_nutr_val","plant_name.x","genus.x","family.x","leafP","leafP_val","plant_name.x.y","genus.x.y","family.x.y","leafN","leafN_val","plant_name.y.y","genus.y.y","family.y.y","plant_name.y","genus.y","family.y"
1510100060,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","GALEOPSIS SPECIOSA","GALEOPSIS","LAMIACEAE","Soil nutrients","fertile","GALEOPSIS SPECIOSA","GALEOPSIS","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GALEOPSIS SPECIOSA","galeopsis","LAMIACEAE"
1510110120,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","LAMIUM CONFERTUM","LAMIUM","LAMIACEAE","Soil nutrients","infertile","LAMIUM CONFERTUM","LAMIUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAMIUM CONFERTUM","lamium","LAMIACEAE"
1510120010,"2C DNA content (pg)","6.5","LAMIASTRUM GALEOBDOLON","LAMIASTRUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,"Soil nutrients","fertile","LAMIASTRUM GALEOBDOLON","LAMIASTRUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAMIASTRUM GALEOBDOLON","lamiastrum","LAMIACEAE"
1510150070,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","BALLOTA NIGRA","BALLOTA","LAMIACEAE","Soil nutrients","very fertile","BALLOTA NIGRA","BALLOTA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BALLOTA NIGRA","ballota","LAMIACEAE"
1510160240,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","STACHYS SYLVATICA","STACHYS","LAMIACEAE","Soil nutrients","fertile","STACHYS SYLVATICA","STACHYS","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STACHYS SYLVATICA","stachys","LAMIACEAE"
1510180130,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","NEPETA CATARIA","NEPETA","LAMIACEAE","Soil nutrients","fertile","NEPETA CATARIA","NEPETA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEPETA CATARIA","nepeta","LAMIACEAE"
1510190010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","GLECHOMA HEDERACEA","GLECHOMA","LAMIACEAE","Soil nutrients","very fertile","GLECHOMA HEDERACEA","GLECHOMA","LAMIACEAE","Mature leaf P concentration (mg/g)",">3","GLECHOMA HEDERACEA","GLECHOMA","LAMIACEAE","Mature leaf N concentration (mg/g)",">30","GLECHOMA HEDERACEA","GLECHOMA","LAMIACEAE","GLECHOMA HEDERACEA","glechoma","LAMIACEAE"
1510210010,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","PRUNELLA LACINIATA","PRUNELLA","LAMIACEAE","Soil nutrients","infertile","PRUNELLA LACINIATA","PRUNELLA","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRUNELLA LACINIATA","prunella","LAMIACEAE"
1510270030,NA,NA,NA,NA,NA,"Longevity of stems (yrs)","5.02","<1","CLINOPODIUM CALAMINTHA","CLINOPODIUM","LAMIACEAE","Soil nutrients","very infertile","CLINOPODIUM CALAMINTHA","CLINOPODIUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLINOPODIUM CALAMINTHA","clinopodium","LAMIACEAE"
1510320030,"2C DNA content (pg)","1.3","ORIGANUM VULGARE","ORIGANUM","LAMIACEAE","Longevity of stems (yrs)","5.02","<1","ORIGANUM VULGARE","ORIGANUM","LAMIACEAE","Soil nutrients","infertile","ORIGANUM VULGARE","ORIGANUM","LAMIACEAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ORIGANUM VULGARE","origanum","LAMIACEAE"
